year,tas
2015,288.9771797075664
2016,288.914441670457
2017,289.1555055383134
2018,289.3955797169306
2019,289.1786595174711
2020,289.0960373969927
2021,289.1085462596319
2022,289.2892486990315
2023,289.4275558680704
2024,289.622221479024
2025,289.2992198369274
2026,289.33691247391374
2027,289.49201852458793
2028,289.75476567516586
2029,289.8407271711793
2030,289.44991413273226
2031,289.4661411233144
2032,289.71997505083476
2033,289.96079770440923
2034,289.8322661935467
2035,289.57033632879387
2036,289.67773546192745
2037,289.81591069469715
2038,290.00258178710936
2039,289.84308454957727
2040,289.56050640785526
2041,289.5580078961098
2042,289.6765551423373
2043,290.008297353248
2044,290.1618832104826
2045,289.8267734475332
2046,289.89390074847495
2047,290.020719679741
2048,290.2465328686858
2049,290.11940265812285
2050,289.68248750869543
2051,289.7242747685681
2052,289.9580360726134
2053,290.20923938489943
2054,290.0713661507384
2055,290.14182496789385
2056,290.1522819623555
2057,290.2864543758027
2058,290.1232521370666
2059,290.1208522848887
2060,290.3549023771939
2061,290.3986919246308
2062,290.013602228034
2063,290.01551237759526
2064,290.1972059276006
2065,290.389800440122
2066,290.55252551771184
2067,290.1897194222228
2068,290.3935607074058
2069,290.43752123688995
2070,290.40325743792806
2071,290.404389849101
2072,290.63641624973246
2073,290.59482480401863
2074,290.25936571931186
2075,290.1986012079944
2076,290.4259992207566
2077,290.691774802012
2078,290.47424759538205
2079,290.3336944998127
2080,290.42177299604026
2081,290.49954407574376
2082,290.6706005357716
2083,290.69265922650897
2084,290.34527621334547
2085,290.2628281684771
2086,290.45100440456446
2087,290.72663766521293
2088,290.6832168370077
2089,290.39563807657316
2090,290.44302903266805
2091,290.5356387621736
2092,290.8090357950289
2093,290.9012449499679
2094,290.57835618110556
2095,290.49956723565924
2096,290.509022166631
2097,290.51395890745397
2098,290.615414386906
2099,290.7459220990743
2100,290.9058639735391
